component,category,cluster,environment,cluster_type,selected_version,desired_version,observed_version,version_state,presence,delivery_state,argo_sync_state,health_state,readiness_result,readiness_ready,readiness_desired,workload_state,proof_status,departure_id,departure_reason,unknown_reason,declared_overrides,render_object_count,render_sha256,evidence_scope,evidence
argo-cd,platform-component,hx-app-dev,dev,hub,argo-cd/argo-cd@10.2.1,10.2.1,v3.4.6,recorded-departure,rendered-intent,delivered,Synced,Healthy,pass,7,7,pass (7/7 ready),observed,configHub-owned-argo-substitutes-kubara-wrapper,"ConfigHub takes the hub role; each cluster keeps its local bootstrap Argo v3.4.6, explicitly separate from Kubara chart 10.2.1 and its v3.4.5 render.",,examples/kubara/current-platform/source/overrides/hx-app-dev/helm/argo-cd/values-repository-paths.yaml,86,3881930e58f377be7074eda757a17e304825a3104183f477cfadb4cb87c57bb8,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
argo-cd,platform-component,hx-app-staging,staging,spoke,argo-cd/argo-cd@10.2.1,10.2.1,v3.4.6,recorded-departure,hub-managed,delivered,Synced,Healthy,pass,7,7,pass (7/7 ready),observed,configHub-owned-argo-substitutes-kubara-wrapper,"ConfigHub takes the hub role; each cluster keeps its local bootstrap Argo v3.4.6, explicitly separate from Kubara chart 10.2.1 and its v3.4.5 render.",,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
argo-cd,platform-component,hx-app-prod-a,prod,spoke,argo-cd/argo-cd@10.2.1,10.2.1,v3.4.6,recorded-departure,hub-managed,delivered,Synced,Healthy,pass,7,7,pass (7/7 ready),observed,configHub-owned-argo-substitutes-kubara-wrapper,"ConfigHub takes the hub role; each cluster keeps its local bootstrap Argo v3.4.6, explicitly separate from Kubara chart 10.2.1 and its v3.4.5 render.",,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
argo-cd,platform-component,hx-app-prod-b,prod,spoke,argo-cd/argo-cd@10.2.1,10.2.1,v3.4.6,recorded-departure,hub-managed,delivered,Synced,Healthy,pass,7,7,pass (7/7 ready),observed,configHub-owned-argo-substitutes-kubara-wrapper,"ConfigHub takes the hub role; each cluster keeps its local bootstrap Argo v3.4.6, explicitly separate from Kubara chart 10.2.1 and its v3.4.5 render.",,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
cert-manager,platform-component,hx-app-dev,dev,hub,jetstack/cert-manager@v1.21.0,v1.21.0,cert-manager-v1.21.0,matches-selection,rendered-intent,delivered,Synced,Healthy,pass,3,3,pass (3/3 ready),observed,kind-self-signed-cluster-issuer,The reproducible kind lane uses a self-signed ClusterIssuer instead of public ACME.,,examples/kubara/current-platform/source/overrides/hx-app-dev/helm/cert-manager/values-kind.yaml,54,d42bd87d5d10982edf3d3c308769c3fba802df70bfca68e10600a76114e95ee7,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/cert-manager.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
cert-manager,platform-component,hx-app-staging,staging,spoke,jetstack/cert-manager@v1.21.0,v1.21.0,cert-manager-v1.21.0,matches-selection,rendered-intent,delivered,Synced,Healthy,pass,3,3,pass (3/3 ready),observed,kind-self-signed-cluster-issuer,The reproducible kind lane uses a self-signed ClusterIssuer instead of public ACME.,,examples/kubara/current-platform/source/overrides/hx-app-staging/helm/cert-manager/values-kind.yaml,52,d7cc5ad406be55803cc8c8f267631812051d82dd649863a89f87c2db0ed0690d,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-staging/cert-manager.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
cert-manager,platform-component,hx-app-prod-a,prod,spoke,jetstack/cert-manager@v1.21.0,v1.21.0,cert-manager-v1.21.0,matches-selection,rendered-intent,delivered,Synced,Healthy,pass,3,3,pass (3/3 ready),observed,kind-self-signed-cluster-issuer,The reproducible kind lane uses a self-signed ClusterIssuer instead of public ACME.,,examples/kubara/current-platform/source/overrides/hx-app-prod-a/helm/cert-manager/values-kind.yaml,52,27f69adde8d447b0294205f65d9d19685c987a4b2ad573271e3edbb239f0a75a,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-prod-a/cert-manager.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
cert-manager,platform-component,hx-app-prod-b,prod,spoke,jetstack/cert-manager@v1.21.0,v1.21.0,cert-manager-v1.21.0,matches-selection,rendered-intent,delivered,Synced,Healthy,pass,3,3,pass (3/3 ready),observed,kind-self-signed-cluster-issuer,The reproducible kind lane uses a self-signed ClusterIssuer instead of public ACME.,,examples/kubara/current-platform/source/overrides/hx-app-prod-b/helm/cert-manager/values-kind.yaml,52,ddab0a44c5efc491c6132223fff6b88ecd2da5abdd77e73af1887f7593aef70a,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-prod-b/cert-manager.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
external-secrets,platform-component,hx-app-dev,dev,hub,external-secrets/external-secrets@2.8.0,2.8.0,external-secrets-2.8.0,matches-selection,rendered-intent,delivered,Synced,Healthy,pass,3,3,pass (3/3 ready),observed,kind-fake-provider-target-fact,The demo uses ESO's fake provider; production must select a real backend without changing the wiring contract.,,,50,b90bd5215ed87a67cd9b2754f04865a20e40b805fe1349e93de25770b0a69292,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/external-secrets.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
external-secrets,platform-component,hx-app-staging,staging,spoke,external-secrets/external-secrets@2.8.0,2.8.0,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
