component,cluster,environment,region,selected_version,observed_version,version_state,presence,sync_state,workload_state,proof_status,departure_ids,departures,evidence_scope,evidence
argo-cd,hx-app-dev,dev,,argo-cd/argo-cd@10.1.3,unknown,substituted-observed-version-unknown,substituted,Synced/Healthy (argobot delivery app),ConfigHub-owned Argo CD + argobot recorded; Argo workload version/readiness not separately recorded,substituted,argo-owner-substitution,ConfigHub-owned Argo CD plus argobot replaces Kubara's selected argo-cd wrapper.,per-cluster argobot summary; Kubara argo-cd is substituted,runs/kubara-app-rollout-proof/receipt.yaml
argo-cd,hx-app-staging,staging,,argo-cd/argo-cd@10.1.3,unknown,substituted-observed-version-unknown,substituted,Synced/Healthy (argobot delivery app),ConfigHub-owned Argo CD + argobot recorded; Argo workload version/readiness not separately recorded,substituted,argo-owner-substitution,ConfigHub-owned Argo CD plus argobot replaces Kubara's selected argo-cd wrapper.,per-cluster argobot summary; Kubara argo-cd is substituted,runs/kubara-app-rollout-proof/receipt.yaml
argo-cd,hx-app-prod-a,prod,us-east,argo-cd/argo-cd@10.1.3,unknown,substituted-observed-version-unknown,substituted,Synced/Healthy (argobot delivery app),ConfigHub-owned Argo CD + argobot recorded; Argo workload version/readiness not separately recorded,substituted,argo-owner-substitution,ConfigHub-owned Argo CD plus argobot replaces Kubara's selected argo-cd wrapper.,per-cluster argobot summary; Kubara argo-cd is substituted,runs/kubara-app-rollout-proof/receipt.yaml
argo-cd,hx-app-prod-b,prod,us-west,argo-cd/argo-cd@10.1.3,unknown,substituted-observed-version-unknown,substituted,Synced/Healthy (argobot delivery app),ConfigHub-owned Argo CD + argobot recorded; Argo workload version/readiness not separately recorded,substituted,argo-owner-substitution,ConfigHub-owned Argo CD plus argobot replaces Kubara's selected argo-cd wrapper.,per-cluster argobot summary; Kubara argo-cd is substituted,runs/kubara-app-rollout-proof/receipt.yaml
cert-manager,hx-app-dev,dev,,jetstack/cert-manager@v1.21.0,v1.21.0,matches-selection,present,OutOfSync/Healthy,3/3 Deployments Running on all four clusters,watch,adapted-delivery;cert-manager-cr-ordering;cert-manager-kind-issuer,ConfigHub variant/OCI delivery replaces the native Kubara Git/ApplicationSet delivery path in this proof.; ClusterIssuer and ServiceMonitor were split from the controller render for CRD-before-CR ordering.; The kind proof uses a self-signed issuer instead of Kubara's public Let's Encrypt ACME issuer.,fleet-summary; not individually enumerated per cluster,runs/kubara-app-rollout-proof/receipt.yaml
cert-manager,hx-app-staging,staging,,jetstack/cert-manager@v1.21.0,v1.21.0,matches-selection,present,OutOfSync/Healthy,3/3 Deployments Running on all four clusters,watch,adapted-delivery;cert-manager-cr-ordering;cert-manager-kind-issuer,ConfigHub variant/OCI delivery replaces the native Kubara Git/ApplicationSet delivery path in this proof.; ClusterIssuer and ServiceMonitor were split from the controller render for CRD-before-CR ordering.; The kind proof uses a self-signed issuer instead of Kubara's public Let's Encrypt ACME issuer.,fleet-summary; not individually enumerated per cluster,runs/kubara-app-rollout-proof/receipt.yaml
cert-manager,hx-app-prod-a,prod,us-east,jetstack/cert-manager@v1.21.0,v1.21.0,matches-selection,present,OutOfSync/Healthy,3/3 Deployments Running on all four clusters,watch,adapted-delivery;cert-manager-cr-ordering;cert-manager-kind-issuer,ConfigHub variant/OCI delivery replaces the native Kubara Git/ApplicationSet delivery path in this proof.; ClusterIssuer and ServiceMonitor were split from the controller render for CRD-before-CR ordering.; The kind proof uses a self-signed issuer instead of Kubara's public Let's Encrypt ACME issuer.,fleet-summary; not individually enumerated per cluster,runs/kubara-app-rollout-proof/receipt.yaml
cert-manager,hx-app-prod-b,prod,us-west,jetstack/cert-manager@v1.21.0,v1.21.0,matches-selection,present,OutOfSync/Healthy,3/3 Deployments Running on all four clusters,watch,adapted-delivery;cert-manager-cr-ordering;cert-manager-kind-issuer,ConfigHub variant/OCI delivery replaces the native Kubara Git/ApplicationSet delivery path in this proof.; ClusterIssuer and ServiceMonitor were split from the controller render for CRD-before-CR ordering.; The kind proof uses a self-signed issuer instead of Kubara's public Let's Encrypt ACME issuer.,fleet-summary; not individually enumerated per cluster,runs/kubara-app-rollout-proof/receipt.yaml
external-secrets,hx-app-dev,dev,,external-secrets/external-secrets@2.7.0,2.7.0,matches-selection,present,Synced/Healthy (3 split apps),"controller, webhook, and cert-controller 1/1 Running; 24 CRDs installed; ClusterSecretStore Ready=True (Valid); Grafana ExternalSecret Ready=True (SecretSynced)",observed,adapted-delivery;external-secrets-dev-scope;external-secrets-fake-provider;external-secrets-namespace-adaptation,"ConfigHub variant/OCI delivery replaces the native Kubara Git/ApplicationSet delivery path in this proof.; External Secrets is evidenced on dev only in the committed platform receipt.; The dev proof uses external-secrets' fake provider, not a production secret backend.; A redundant Namespace/default object was removed after a shared-resource conflict.",per-application dev evidence,runs/kubara-single-platform-proof/receipt.yaml
external-secrets,hx-app-staging,staging,,external-secrets/external-secrets@2.7.0,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
external-secrets,hx-app-prod-a,prod,us-east,external-secrets/external-secrets@2.7.0,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
external-secrets,hx-app-prod-b,prod,us-west,external-secrets/external-secrets@2.7.0,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
homer-dashboard,hx-app-dev,dev,,kubara/homer-dashboard@0.1.0,unknown,unknown,present,unknown,1/1 Running,partial,adapted-delivery;homer-namespace-adaptation,ConfigHub variant/OCI delivery replaces the native Kubara Git/ApplicationSet delivery path in this proof.; The live Units were assigned a namespace because the wrapper render omitted it.,dev workload recorded; exact component Argo state not recorded,runs/kubara-single-platform-proof/receipt.yaml
homer-dashboard,hx-app-staging,staging,,kubara/homer-dashboard@0.1.0,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
homer-dashboard,hx-app-prod-a,prod,us-east,kubara/homer-dashboard@0.1.0,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
homer-dashboard,hx-app-prod-b,prod,us-west,kubara/homer-dashboard@0.1.0,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
kube-prometheus-stack,hx-app-dev,dev,,prometheus-community/kube-prometheus-stack@87.15.1 + prometheus-community/prometheus-blackbox-exporter@11.15.1,87.19.0 (kube-prometheus-stack); prometheus-blackbox-exporter unknown,recorded-departure,present,partial: CRD app hx-kps-crds-dev Synced/Healthy; main app sync unknown,"operator, Prometheus, Alertmanager, node-exporter, kube-state-metrics, blackbox, and Grafana all Running. Grafana's admin Secret is now managed and owned by external-secrets.",partial,adapted-delivery;kps-crd-split-ssa;kps-version-departure,ConfigHub variant/OCI delivery replaces the native Kubara Git/ApplicationSet delivery path in this proof.; Large monitoring CRDs were split and reconciled with server-side apply.; The live proof used kube-prometheus-stack 87.19.0 because the selected 87.15.1 archive was unavailable from the repository index at run time.,dev CRD app exact; main app not recorded,runs/kubara-single-platform-proof/receipt.yaml
kube-prometheus-stack,hx-app-staging,staging,,prometheus-community/kube-prometheus-stack@87.15.1 + prometheus-community/prometheus-blackbox-exporter@11.15.1,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
kube-prometheus-stack,hx-app-prod-a,prod,us-east,prometheus-community/kube-prometheus-stack@87.15.1 + prometheus-community/prometheus-blackbox-exporter@11.15.1,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
kube-prometheus-stack,hx-app-prod-b,prod,us-west,prometheus-community/kube-prometheus-stack@87.15.1 + prometheus-community/prometheus-blackbox-exporter@11.15.1,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
metrics-server,hx-app-dev,dev,,metrics-server/metrics-server@3.13.1,unknown,unknown,present,unknown,1/1 Running,partial,adapted-delivery,ConfigHub variant/OCI delivery replaces the native Kubara Git/ApplicationSet delivery path in this proof.,dev workload recorded; exact component Argo state not recorded,runs/kubara-single-platform-proof/receipt.yaml
metrics-server,hx-app-staging,staging,,metrics-server/metrics-server@3.13.1,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
metrics-server,hx-app-prod-a,prod,us-east,metrics-server/metrics-server@3.13.1,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
metrics-server,hx-app-prod-b,prod,us-west,metrics-server/metrics-server@3.13.1,not-observed,not-delivered,not-delivered,not-applicable,not-delivered-in-receipt-scope,not-delivered,,none; component is outside this cluster's recorded proof scope,explicit receipt scope limit,runs/kubara-single-platform-proof/receipt.yaml
traefik,hx-app-dev,dev,,traefik/traefik@41.0.2,41.0.2,matches-selection,present,Synced/Progressing,"1/1 Deployment Running on all four clusters, IngressClass=traefik",watch,adapted-delivery;traefik-kind-loadbalancer;traefik-monitoring-strip,"ConfigHub variant/OCI delivery replaces the native Kubara Git/ApplicationSet delivery path in this proof.; Traefik remains Progressing because its LoadBalancer has no MetalLB on kind, while its pod is serving.; ServiceMonitor was stripped in the adapted render; the Prometheus API was declared to satisfy the wrapper's render guard.",fleet-summary; not individually enumerated per cluster,runs/kubara-app-rollout-proof/receipt.yaml
traefik,hx-app-staging,staging,,traefik/traefik@41.0.2,41.0.2,matches-selection,present,Synced/Progressing,"1/1 Deployment Running on all four clusters, IngressClass=traefik",watch,adapted-delivery;traefik-kind-loadbalancer;traefik-monitoring-strip,"ConfigHub variant/OCI delivery replaces the native Kubara Git/ApplicationSet delivery path in this proof.; Traefik remains Progressing because its LoadBalancer has no MetalLB on kind, while its pod is serving.; ServiceMonitor was stripped in the adapted render; the Prometheus API was declared to satisfy the wrapper's render guard.",fleet-summary; not individually enumerated per cluster,runs/kubara-app-rollout-proof/receipt.yaml
